"id","nombre","descripcion","pic","nasc","muerte","ciudadania"
"Q2582570","Wilson Dallam Wallis","anthropologist",NA,"-2645136000","6307200","Q2582570"
"Q61310","Paul de Lagarde","filósofo de la cultura y orientalista alemán","http://commons.wikimedia.org/wiki/Special:FilePath/Paul Anton de Lagarde.png","","","Q61310"
"Q461733","William Robertson Smith","Scottish orientalist and minister of the Free Church of Scotland","http://commons.wikimedia.org/wiki/Special:FilePath/WilliamRobertsonSmith.jpg","-3886185600","-2390601600","Q461733"
"Q503315","William McDougall","psicólogo británico","http://commons.wikimedia.org/wiki/Special:FilePath/William McDougall psychical researcher.png","","","Q503315"
"Q363729","Siegfried Sassoon","escritor y poeta británico","http://commons.wikimedia.org/wiki/Special:FilePath/Siegfried%20Sassoon%20by%20George%20Charles%20Beresford%20%281915%29.jpg","","","Q363729"
"Q201732","Robert Graves","escritor y erudito inglés","http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Graves%201929%20%28cropped%29.jpg","","","Q201732"
"Q471927","Frederic Bartlett","psicólogo británico",NA,"","","Q471927"
"Q357480","Victor Turner","Antropólogo escocés",NA,"-1565136000","440553600","Q357480"
"Q2407131","Sol Tax","antropólogo estadounidense",NA,"-1962057600","789177600","Q2407131"
"Q86716","Siegfried Frederick Nadel","antropólogo británico",NA,"-2104617600","-440726400","Q86716"
"Q2158925","Robert Sutherland Rattray","antropólogo británico",NA,"-2787177600","-998352000","Q2158925"
"Q1381109","Robert Ranulph Marett","etnólogo británico",NA,"-3267820800","-847929600","Q1381109"
"Q720118","Ralph Linton","antropólogo estadounidense",NA,"-2424902400","-505612800","Q720118"
"Q58186532","Sophie Day","researcher, ORCID id # 0000-0002-9822-9094","","","","Q58186532"
"Q5236315","David Lan","British theatre director and writer","http://commons.wikimedia.org/wiki/Special:FilePath/DL reflection 1mb.jpg","","","Q5236315"
"Q1857189","Maurice Bloch","anthropologist","http://commons.wikimedia.org/wiki/Special:FilePath/Maurice%20Bloch.jpg","-978307200",NA,"Q1857189"
"Q7613704","Steve Rayner","British social scientist","http://commons.wikimedia.org/wiki/Special:FilePath/Steve%20Rayner%20%283549207666%29.jpg","","","Q7613704"
"Q3017532","David Bloor","academic and sociologist",NA,"","","Q3017532"
"Q435411","Marilyn Strathern","antropóloga británica",NA,"-909619200",NA,"Q435411"
"Q3499017","John Ferguson McLennan","British lawyer and ethnologist",NA,"-4487961600","-2794176000","Q3499017"
"Q859","Platón","filósofo griego clásico","http://commons.wikimedia.org/wiki/Special:FilePath/Head%20Platon%20Glyptothek%20Munich%20548.jpg","","","Q859"
"Q76678","Hermann Oldenberg","German Indologist",NA,"","","Q76678"
"Q505827","Andrew Lang","escritor escocés","http://commons.wikimedia.org/wiki/Special:FilePath/Andrew%20Lang.jpg","","","Q505827"
"Q37767","T. S. Eliot","poeta, dramaturgo y crítico literario anglo-estadounidense","http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Stearns%20Eliot%20by%20Lady%20Ottoline%20Morrell%20%281934%29.jpg","","","Q37767"
"Q1570821","Ross Nichols","Neo-druid","http://commons.wikimedia.org/wiki/Special:FilePath/Ross%20Nichols%2C%20founder%20of%20Order%20of%20Bards%2C%20Ovates%20and%20Druids.jpg","","","Q1570821"
"Q172684","Aleister Crowley","ocultista y escritor británico","http://commons.wikimedia.org/wiki/Special:FilePath/Aleister%20Crowley%20as%20Baphomet%20X%C2%B0%20O.T.O.jpg","","","Q172684"
"Q151936","James George Frazer","Antropólogo escocés","http://commons.wikimedia.org/wiki/Special:FilePath/JamesGeorgeFrazer.jpg","-3660595200","-904262400","Q151936"
"Q2569549","Jack Herbert Driberg","antropólogo británico",NA,"-2587680000","-754358400","Q2569549"
"Q7684019","Tanya Luhrmann","antropóloga estadounidense","","","","Q7684019"
"Q636191","Jack Goody","antropólogo británico","http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20John%20Rankine%20Goody%20%282009%29.jpg","-1591574400","1436918400","Q636191"
"Q6226804","John Comaroff","antropólogo sudafricano","","","","Q6226804"
"Q18126962","Eileen Krige","antropóloga sudafricana",NA,"","","Q18126962"
"Q348933","Isaac Schapera","antropólogo británico","http://commons.wikimedia.org/wiki/Special:FilePath/Isaac%20Schapera%2C%20c1950s.jpg","-2036275200","1056585600","Q348933"
"Q25929220","Chris Mulzer","","","","","Q25929220"
"Q2346806","Steve Andreas","American psychotherapist/author","","","","Q2346806"
"Q452751","Richard Bandler","American author and trainer in the field of self-help","http://commons.wikimedia.org/wiki/Special:FilePath/Richard Bandler (2009).jpg","","","Q452751"
"Q180099","Margaret Mead","antropóloga estadounidense","http://commons.wikimedia.org/wiki/Special:FilePath/Margaret%20Mead%20%281901-1978%29.jpg","","","Q180099"
"Q961640","John C. Lilly","médico estadounidense","http://commons.wikimedia.org/wiki/Special:FilePath/Johnlilly4.jpg","","","Q961640"
"Q314252","Gregory Bateson","antropólogo, científico social, lingüista y cibernético inglés","http://commons.wikimedia.org/wiki/Special:FilePath/Mary%20Catherine%20Bateson%20%26%20Sergio%20Manghi%20at%20a%20conference%2C%202004.jpg","-2071699200","331516800","Q314252"
"Q733942","Grafton Elliot Smith","anatomista australiano","http://commons.wikimedia.org/wiki/Special:FilePath/Grafton%20Elliot%20Smith.jpg","-3104611200","-1041379200","Q733942"
"Q1533806","Godfrey Lienhardt","antropólogo británico",NA,"-1544918400","752803200","Q1533806"
"Q472339","George Marcus","anthropologist, university professor, magazine editor","http://commons.wikimedia.org/wiki/Special:FilePath/George%20Marcus.jpg","-732412800",NA,"Q472339"
"Q9061","Karl Marx","filósofo y economista alemán, fundador del comunismo","http://commons.wikimedia.org/wiki/Special:FilePath/Karl%20Marx%20001.jpg","","","Q9061"
"Q89562","Eric Wolf","Antropólogo materialista estadounidense",NA,"-1480550400","920678400","Q89562"
"Q7383203","Ruth Sawtell Wallis","American academic and physical anthropologist",NA,"","","Q7383203"
"Q924714","Max Gluckman","antropólogo sudafricano",NA,"","","Q924714"
"Q532043","Lucy Mair","antropóloga británica",NA,"","","Q532043"
"Q1103678","Clyde Kluckhohn","antropólogo estadounidense",NA,"","","Q1103678"
"Q16084178","Elizabeth Colson","antropóloga estadounidense",NA,"-1658275200","1470182400","Q16084178"
"Q28746206","Vera Green","antropóloga y académica estadounidense","","","","Q28746206"
"Q5343253","Edward H. Spicer","antropólogo estadounidense",NA,"-1991001600","418262400","Q5343253"
"Q9047","Gottfried Leibniz","filósofo y matemático alemán","http://commons.wikimedia.org/wiki/Special:FilePath/Christoph%20Bernhard%20Francke%20-%20Bildnis%20des%20Philosophen%20Leibniz%20%28ca.%201695%29.jpg","","","Q9047"
"Q76828","Emil Kraepelin","psiquiatra alemán","http://commons.wikimedia.org/wiki/Special:FilePath/Emil%20Kraepelin%201926.jpg","","","Q76828"
"Q48756055","Pierre-Joseph Laurent","antropólogo belga","http://commons.wikimedia.org/wiki/Special:FilePath/P-J.Laurent.jpg","","","Q48756055"
"Q3308699","Michaël Singleton","antropólogo británico","","","","Q3308699"
"Q1974975","Talal Asad","antropólogo estadounidense","","","","Q1974975"
"Q231349","Mary Douglas","antropóloga británica","","","","Q231349"
"Q141037","Edward Burnett Tylor","English anthropologist","http://commons.wikimedia.org/wiki/Special:FilePath/E.%20B.%20Tylor%20portrait.%20Folk-Lore%2C%20vol.%2028.png","-4331145600","-1672444800","Q141037"
"Q128126","Claude Lévi-Strauss","personalidad política francesa, uno de los principales integrantes del movimiento intelectual denominado estructuralismo","http://commons.wikimedia.org/wiki/Special:FilePath/Levi-strauss%20260.jpg","","","Q128126"
"Q352603","Derek Freeman","antropólogo neozelandés","http://commons.wikimedia.org/wiki/Special:FilePath/Derek%20Freeman.jpg","-1684540800","994377600","Q352603"
"Q42854208","Colin Turnbull","researcher",NA,NA,NA,"Q42854208"
"Q1065171","Charles Kingsley Meek","antropólogo británico",NA,"-2667254400","-150422400","Q1065171"
"Q511513","Jakob Johann von Uexküll","Baltic German biologist, zoologist, and philosopher","http://commons.wikimedia.org/wiki/Special:FilePath/Uex%20photo%20full.jpg","","","Q511513"
"Q213504","Charles Scott Sherrington","neurofisiólogo británico","http://commons.wikimedia.org/wiki/Special:FilePath/Prof.%20Charles%20Scott%20Sherrington.jpg","","","Q213504"
"Q76126","Karl Ewald Hasse","médico alemán","http://commons.wikimedia.org/wiki/Special:FilePath/Karl Ewald Hasse.jpg","","","Q76126"
"Q57992","Johannes Peter Müller","anatomista y fisiólogo","http://commons.wikimedia.org/wiki/Special:FilePath/Johannes Peter Müller.jpg","","","Q57992"
"Q466998","Fredrik Barth","Norwegian social anthropologist","http://commons.wikimedia.org/wiki/Special:FilePath/Fredrik Barth.jpg","","","Q466998"
"Q1618181","Hilda Kuper","antropóloga sudafricana","","","","Q1618181"
"Q550729","Edmund Leach","antropólogo británico","","","","Q550729"
"Q3140854","Hortense Powdermaker","antropólogo, profesora e investigadora estadounidense","","","","Q3140854"
"Q346927","Meyer Fortes","antropólogo sudafricano","http://commons.wikimedia.org/wiki/Special:FilePath/mp130742","","","Q346927"
"Q139412","Z. K. Matthews","Bamangwato academic in South Africa (1901-1968)","http://commons.wikimedia.org/wiki/Special:FilePath/ZKMatthewsUFH.JPG","","","Q139412"
"Q1746323","Raymond Firth","ethnologist from New Zealand","http://commons.wikimedia.org/wiki/Special:FilePath/Professor Sir Raymond Firth, c1965.jpg","","","Q1746323"
"Q173563","Jomo Kenyatta","periodista keniano","http://commons.wikimedia.org/wiki/Special:FilePath/Jomo Kenyatta 1966-06-15.jpg","","","Q173563"
"Q982656","Fei Xiaotong","político chino","http://commons.wikimedia.org/wiki/Special:FilePath/Xiaotong.jpg","","","Q982656"
"Q75814","Wilhelm Wundt","German physician, physiologist, philosopher and professor (1832-1920)","http://commons.wikimedia.org/wiki/Special:FilePath/Wilhelm%20Wundt.jpg","","","Q75814"
"Q722835","Edvard Westermarck","académico finlandés","http://commons.wikimedia.org/wiki/Special:FilePath/Edward%20westermarck.jpg","","","Q722835"
"Q185664","Charles Gabriel Seligman","etnólogo británico","http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Gabriel%20Seligman.jpg","","","Q185664"
"Q184992","Bronislaw Kasper Malinowski","fotógrafo","http://commons.wikimedia.org/wiki/Special:FilePath/Bronislawmalinowski.jpg","-2705529600","-871948800","Q184992"
"Q548029","Audrey Richards","antropóloga británica",NA,"-2224281600","457315200","Q548029"
"Q2865231","Arthur Maurice Hocart","antropólogo belga",NA,"-2735510400","-972518400","Q2865231"
"Q15948","Émile Durkheim","sociólogo francés positivista","http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89mile%20Durkheim.jpg","","","Q15948"
"Q150379","Edward Evan Evans-Pritchard","antropólogo inglés","http://commons.wikimedia.org/wiki/Special:FilePath/Bust%20of%20E.%20E.%20Evans-Pritchard.jpg","","","Q150379"
"Q135576","Alfred Reginald Radcliffe-Brown","antropólogo británico","http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Radcliffe-Brown.jpg","-2807136000","-447811200","Q135576"
"Q184366","Thomas Henry Huxley","English biologist and comparative anatomist (1825-1895)","http://commons.wikimedia.org/wiki/Special:FilePath/T.H.Huxley%28Woodburytype%29.jpg","","","Q184366"
"Q588320","William Rivers","English anthropologist, neurologist, ethnologist and psychiatrist","http://commons.wikimedia.org/wiki/Special:FilePath/W.H.R.Rivers%20%28Maull%29.jpg","","","Q588320"
"Q5045075","Caroline Furness Jayne","etnóloga estadounidense","http://commons.wikimedia.org/wiki/Special:FilePath/Mrs.%20Horace%20Jayne%20%28Caroline%20Furness%20Jayne%29%20portrait%20by%20William%20Merritt%20Chase.jpg","","","Q5045075"
"Q523016","Alfred Cort Haddon","antropólogo británico","http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Cort%20Haddon.%20Photograph.%20Wellcome%20V0026495.jpg","-3616704000","-937267200","Q523016"
"Q155547","Johann Gottfried Herder","filósofo, teólogo y crítico literario alemán","http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Gottfried%20Herder%202.jpg","","","Q155547"
"Q41532","Carl Gustav Jung","psicólogo y psiquiatra suizo","http://commons.wikimedia.org/wiki/Special:FilePath/ETH-BIB-Jung%2C%20Carl%20Gustav%20%281875-1961%29-Portrait-Portr%2014163%20%28cropped%29.tif","","","Q41532"
"Q58793","Adolf Bastian","etnógrafo y antropólogo alemán","http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Bastian2.jpg","-4529001600","-2048457600","Q58793"
"id","nombre","descripcion","pic","nasc","muerte","ciudadania"
